rsi,currentADX,prevADX,rvol,atrPercentage,upperWick,lowerWick,bodySize,isWhipsaw,directionIntent,target_win
33.1839,18.0479,15.6002,4.1532,0.3244,0.0000,0.6300,0.6800,0,-1,0
46.3330,25.4537,26.7366,0.6323,0.3686,0.4700,0.0600,0.0500,1,-1,0
64.8568,13.6022,12.6764,3.0752,0.2024,0.2100,0.0300,0.1400,0,1,0
40.7274,13.8823,13.3389,1.4630,0.2011,0.0000,0.0700,0.4000,1,1,0
34.5765,28.0817,25.6759,2.2573,0.1900,0.0200,0.1000,0.1900,0,-1,1
35.6433,45.2041,44.4889,0.9920,0.2838,0.0000,0.0900,0.4800,1,-1,0
36.4954,36.9375,36.6904,0.4846,0.3531,0.1400,0.0100,0.2100,0,-1,1
26.5564,32.0573,30.4820,1.2849,0.4310,0.2900,0.0900,0.5800,0,-1,1
21.1618,51.6104,49.4699,1.1270,0.5066,0.0600,0.5700,0.8800,0,-1,1
28.0729,55.0607,54.1862,1.4538,0.5934,0.1800,0.4000,0.5200,0,-1,0
66.4407,26.0708,25.0680,0.6524,0.3290,0.1500,0.0300,0.6600,0,1,0
48.2174,25.9433,27.3992,1.9023,0.3787,0.0100,0.1900,0.2500,0,1,0
58.6406,24.7642,23.9461,2.0216,0.4373,0.2700,0.0000,0.9400,1,1,0
43.1053,23.6435,24.8972,1.9364,0.4657,0.0700,0.2900,0.7300,1,1,0
41.5972,18.5408,19.4760,3.0171,0.6092,0.0600,0.2000,0.8100,1,-1,0
31.2446,19.0412,17.6725,5.5723,0.6540,0.0300,0.4700,1.1800,0,-1,0
53.7836,19.5456,20.7035,2.4909,0.6989,0.3200,0.0000,1.2100,0,-1,0
58.9403,14.2874,13.3196,0.5945,0.4306,0.1100,0.1200,0.4400,0,1,0
43.7929,14.1028,14.2469,0.8359,0.4194,0.5400,0.1100,0.2200,0,1,1
55.3599,32.8762,31.8843,5.2342,0.3711,0.6000,0.3300,0.3700,0,1,0
45.9288,30.4406,32.6201,1.1428,0.3912,0.0400,0.2300,0.1500,0,-1,0
55.9698,25.3886,25.7388,1.5900,0.4517,0.3000,0.1500,1.5300,1,-1,0
69.3005,33.1004,31.1564,2.8097,0.6962,0.3200,0.0000,0.5100,0,1,0
46.3958,32.1503,34.0777,1.3438,0.8545,0.0200,0.6400,0.9500,0,1,0
30.0566,24.7679,22.7559,3.2290,0.2750,0.0400,0.2500,0.4400,0,-1,0
16.7743,30.6137,27.4672,6.3379,0.3763,0.4200,0.0000,0.8600,0,-1,0
