directionIntent,rsi,rvol,atrPercentage,prevADX,bodySize,target_win
1,62.8838,2.8648,0.3374,22.8068,0.3100,0
-1,35.1939,2.1455,0.3390,20.5308,0.7900,0
-1,52.3204,1.2916,0.3996,22.1373,1.1300,1
-1,32.9596,1.1010,0.5854,20.8790,0.2300,1
-1,18.8718,4.1781,0.7520,28.5830,0.8200,0
1,57.9248,1.6479,0.4088,29.6583,0.7600,1
1,74.8328,1.8979,0.4676,29.7917,1.1900,0
1,55.7099,0.2594,0.5128,38.3200,0.1000,0
-1,23.1015,2.4301,0.1856,26.3556,0.4500,0
-1,26.7288,1.3302,0.2344,33.8080,0.3200,0
-1,49.9023,0.3701,0.2266,34.9555,0.1100,0
-1,52.2866,1.6977,0.1663,15.0410,0.2200,0
-1,48.5028,1.2736,0.1732,10.5937,0.1100,0
-1,32.3235,1.5923,0.1819,8.2332,0.4200,0
-1,35.7700,0.8543,0.2283,16.8712,0.0800,0
1,58.8906,0.5194,0.1584,20.9003,0.3300,0
-1,37.5356,0.7279,0.1819,14.3493,0.2100,0
-1,34.3988,1.6245,0.2128,19.0863,0.5100,0
-1,39.6537,2.1290,0.2714,28.5366,0.2500,0
1,50.0896,0.5627,0.2689,23.5649,0.3000,0
-1,39.5635,1.1093,0.2942,18.8161,0.2100,0
-1,54.8523,0.5787,0.1779,29.0333,0.2500,0
1,67.7076,0.3634,0.1728,17.4371,0.2900,0
-1,43.7024,0.9908,0.1662,18.6135,0.1100,0
-1,40.3055,1.2528,0.1623,18.6907,0.0900,0
-1,53.6675,0.7490,0.1487,14.2859,0.1900,0
-1,51.0837,0.5745,0.1472,13.3979,0.1400,1
-1,21.3608,4.2298,0.2146,14.3581,0.8800,1
-1,23.7123,2.0152,0.2788,40.1974,0.0100,0
1,50.8730,0.2175,0.2297,30.3590,0.2300,0
-1,39.9587,1.0329,0.1921,20.6065,0.2300,0
-1,51.2588,1.1386,0.1723,20.6635,0.0600,0
-1,39.1347,2.9885,0.1999,17.8948,0.3100,1
-1,19.3141,9.4694,0.2829,25.3362,0.9500,0
-1,43.9227,0.3837,0.3918,40.5483,0.1200,0
-1,53.4997,0.8442,0.2715,17.9170,0.4600,0
-1,39.6729,1.2197,0.2748,15.9628,0.4800,0
-1,34.8070,1.0360,0.3341,17.4974,0.4700,0
-1,48.2077,3.2601,0.3338,35.8029,0.2800,0
1,63.9916,0.6630,0.3114,25.0451,0.2000,0
-1,41.6861,1.1819,0.2581,15.0326,0.1600,0
-1,56.3727,0.8011,0.3405,18.8540,0.5400,0
1,57.6214,1.1534,0.5179,16.7705,0.6300,1
1,76.4628,1.0634,0.4923,23.8662,0.8300,0
1,50.7172,0.7693,0.5196,35.0873,0.0800,0
-1,39.1094,2.5179,0.3348,22.4302,0.2300,0
-1,55.5483,1.0739,0.3310,22.4195,0.4800,0
1,62.6061,0.6543,0.4134,19.6329,0.5200,0
1,59.2542,0.2012,0.4770,27.0099,0.1900,0
1,49.6760,2.0080,0.3571,31.2692,0.7500,0
-1,37.8216,1.0253,0.3369,20.9934,0.1600,0
-1,32.0028,0.4922,0.3624,29.4194,0.5700,1
-1,18.5395,2.7360,0.4417,38.6925,0.2100,1
-1,20.4189,9.5145,0.6726,42.2327,2.0800,0
-1,54.2242,0.5216,0.4150,30.0601,0.4700,1
-1,35.7783,5.5311,0.3836,19.4763,0.1000,0
-1,57.5786,0.9830,0.4279,26.9767,1.4600,0
1,69.8974,1.1865,0.4697,23.3532,0.3700,1
1,73.6606,0.8818,0.4968,26.5421,0.3200,0
-1,40.8826,1.8581,0.2840,16.8027,0.2700,0
-1,40.0360,1.7745,0.3986,18.7266,0.4300,0
-1,61.0002,3.4795,0.4456,18.5372,0.5900,0
1,62.1178,1.5697,0.3731,30.0847,0.5500,0
1,66.8695,3.3767,0.2792,22.3173,0.9700,0
1,51.3120,1.2207,0.3443,26.4882,0.0200,0
-1,42.1159,2.9796,0.2561,16.0583,0.2700,0
-1,56.1029,0.3479,0.2671,19.8081,0.5800,0
1,63.4134,1.5758,0.2869,14.5073,0.2400,0
1,76.4892,3.1161,0.3744,20.8628,0.3800,0
1,49.2503,0.6763,0.4388,29.5146,0.4900,0
-1,36.4493,2.2997,0.2550,15.0130,0.2200,0
-1,48.6989,0.2983,0.2298,36.3456,0.2100,1
-1,33.0092,3.0173,0.2624,22.5150,0.4200,0
-1,44.9811,0.8355,0.2874,31.7183,0.5000,0
1,55.1143,0.7956,0.2348,17.3326,0.1200,1
1,69.7143,2.4903,0.2380,29.1645,0.2400,0
1,45.7787,2.6546,0.2605,30.0640,0.4200,0
-1,28.1063,2.6817,0.3382,24.5115,1.1700,1
-1,16.0182,0.7129,0.4893,44.6284,0.6400,0
1,64.2038,1.1665,0.3024,29.9505,0.4200,0
1,40.5287,1.0260,0.3291,25.3900,0.3200,1
1,69.2171,1.5524,0.2994,22.7037,0.3400,0
1,52.6020,0.5069,0.3175,27.3308,0.0400,0
-1,36.5274,1.7438,0.3176,22.1956,0.3000,0
-1,45.6959,0.3913,0.2707,26.2759,0.1200,1
-1,27.9220,1.6410,0.2930,25.4783,0.4500,1
-1,21.4145,8.0576,0.3246,41.0472,0.2000,0
-1,36.9188,1.4438,0.4812,40.6129,0.7300,0
-1,14.7685,9.8904,0.7382,40.8938,3.8700,0
-1,38.1160,0.8602,0.9094,50.5409,0.9800,0
-1,53.8998,0.3145,0.9688,48.1756,1.0100,0
1,69.2657,2.0092,0.4591,21.0588,1.0300,0
1,50.7551,0.1290,0.4103,34.1825,0.5600,0
-1,38.5757,2.1950,0.3300,13.1333,0.5100,0
-1,57.4960,1.9347,0.3821,18.7767,0.8900,0
-1,50.5629,1.4946,0.4155,15.4465,0.0400,0
1,64.7348,2.3875,0.5810,14.6990,1.2400,1
1,75.2817,3.1243,0.7067,23.6818,0.5500,0
1,45.9930,1.3918,0.4663,28.4506,0.0900,0
-1,34.1971,2.1135,0.2418,13.5274,0.2700,0
-1,57.1050,0.9344,0.2470,17.3624,0.4700,0
1,46.3169,4.7617,0.2734,16.0431,0.4300,0
-1,23.4127,5.9214,0.2928,15.4175,0.8200,0
1,60.0717,0.8418,0.2769,29.3543,0.2700,0
1,73.0407,2.4017,0.2822,27.4965,0.9700,0
1,55.2948,0.7811,0.3215,30.1942,0.3500,0
1,49.4844,1.0723,0.3617,27.8513,0.3200,0
-1,26.8242,4.5493,0.2937,22.5906,1.1800,0
-1,48.6757,0.7091,0.3673,31.9559,0.1800,0
1,64.0268,1.2029,0.3961,26.3093,0.4400,0
-1,38.8628,1.3940,0.2845,18.6584,0.2700,0
-1,51.4263,0.8369,0.3065,23.7107,0.4400,0
1,63.5579,0.8401,0.2647,13.5131,0.4300,1
1,60.2889,4.5849,0.3980,12.6137,0.7900,1
1,62.2450,2.1217,0.4986,26.9915,0.1000,0
1,50.1722,0.6642,0.6924,27.7308,0.2500,0
-1,33.2091,1.6090,0.6273,22.4305,0.6100,1
-1,29.0847,1.0396,0.3083,26.3802,0.5300,0
-1,31.6876,2.2202,0.4368,37.0615,0.7500,0
-1,50.5372,3.8945,0.2947,21.1559,0.2000,0
1,51.9944,0.3299,0.3690,19.2300,0.2700,1
1,72.9113,1.0969,0.3453,32.4129,0.4200,0
-1,35.1328,0.7239,0.2066,21.7213,0.2300,0
-1,32.5228,11.6498,0.2444,28.8742,0.1000,1
-1,24.3491,7.6537,0.2937,17.6215,0.7700,0
-1,39.0232,0.2696,0.4631,32.5944,0.6900,0
1,67.1198,3.1633,0.2724,23.0028,0.4600,0
1,49.8805,0.3327,0.2860,31.6809,0.3200,0
1,47.4459,2.6748,0.2651,24.8254,0.5000,0
1,64.4955,5.3513,0.4829,21.2972,1.3100,0
1,50.1749,0.3613,0.8700,41.3275,1.6800,0
-1,36.2525,0.4140,0.7009,33.0328,0.6000,1
-1,28.2466,2.0556,0.5832,40.9216,0.6900,0
-1,47.6610,0.7445,0.6526,42.7510,1.0500,0
-1,43.9773,0.4479,0.5786,36.3771,0.0600,0
-1,39.8882,4.3792,0.6062,48.2491,0.6800,1
-1,25.2804,3.8412,0.8574,30.0500,1.3100,0
-1,42.6724,0.8765,0.8306,32.8698,0.1500,0
1,57.5853,0.3873,0.3357,18.8096,0.2300,0
1,50.9369,0.6014,0.2753,23.3833,0.1700,0
-1,38.2895,0.3712,0.2586,15.7511,0.0300,0
-1,59.5655,0.3038,0.2362,13.8348,0.3400,0
1,57.0642,1.2999,0.1822,12.2868,0.1400,1
1,79.1164,7.2198,0.2566,20.5500,0.5200,0
1,58.0272,0.6878,0.2668,50.6019,0.0300,0
1,69.1483,3.9534,0.2753,50.0282,0.4900,0
1,42.9511,0.2633,0.2380,45.1043,0.3300,0
-1,47.6649,0.3856,0.2669,37.2313,0.3100,0
1,73.9728,6.0598,0.2660,11.5847,0.7200,0
1,64.3882,0.4486,0.3411,37.0347,0.1600,0
1,49.4851,1.6122,0.3034,35.5113,0.1600,0
-1,40.8292,2.3833,0.2996,27.4747,0.3500,1
-1,28.0961,2.1496,0.2847,31.0478,0.0900,0
-1,55.3511,0.9333,0.3267,27.6582,0.0900,0
1,68.7853,0.8370,0.2154,22.5970,0.2800,0
1,53.3270,0.7593,0.2326,25.6834,0.2600,0
-1,39.0336,1.4584,0.2149,17.5710,0.1300,0
-1,36.9002,2.1855,0.2534,20.6940,0.3800,0
-1,42.0243,0.4256,0.2306,30.9200,0.0001,0
1,57.9263,0.4589,0.2075,34.4511,0.0900,0
1,46.2380,2.1124,0.2354,18.2552,0.1000,0
1,52.8276,1.3447,0.2467,17.5187,0.2300,0
1,48.6106,0.5767,0.1769,15.5911,0.0900,0
1,58.8899,1.8729,0.1791,17.0915,0.0001,0
-1,40.1040,0.4040,0.1776,13.1866,0.0900,0
1,63.2433,1.6511,0.1675,11.4058,0.3600,0
1,72.6659,0.4896,0.2081,23.8573,0.1900,0
1,55.0705,0.1880,0.2570,31.9115,0.0400,1
1,73.3114,16.2843,0.2410,33.2732,0.7300,0
1,51.8517,1.4149,0.1950,42.7842,0.0500,0
1,48.0319,1.0694,0.2348,40.3348,0.6800,0
-1,38.9506,1.1417,0.2506,27.4167,0.4500,1
-1,32.5880,2.4907,0.2648,27.3274,0.2200,0
-1,28.0346,4.5475,0.2681,30.6021,0.5200,0
-1,29.4690,0.7753,0.3009,38.7989,0.4000,0
-1,59.5720,0.9128,0.2860,40.8048,0.4000,0
1,64.9625,0.7227,0.2677,29.3993,0.2300,0
1,47.3698,2.1537,0.1867,29.2346,0.0300,1
1,69.4195,2.4572,0.1963,19.2838,0.0100,0
1,59.3949,1.2190,0.2370,24.2658,0.4800,0
1,61.4477,2.5249,0.3136,23.5806,0.8100,0
1,59.4138,4.3641,0.4339,29.2500,1.0800,0
-1,32.9614,1.8383,0.3222,13.0650,0.3900,0
-1,48.5361,0.2683,0.2905,18.7734,0.2600,0
-1,34.4199,0.9503,0.3248,17.0318,0.7200,0
-1,49.2439,0.3536,0.3219,17.3743,0.1500,0
1,66.2948,1.3487,0.2037,17.3287,0.3900,1
1,73.4683,1.1880,0.2596,36.7274,0.0800,1
1,78.2342,3.6685,0.2753,39.6156,0.7600,0
-1,46.7725,1.1602,0.3173,36.2119,0.0400,0
-1,56.3432,1.3965,0.2746,15.9329,0.6700,0
-1,57.3584,2.5511,0.3506,15.1517,0.7900,1
-1,33.5289,2.3843,0.4676,20.6614,0.1500,0
1,62.5704,1.2610,0.4844,31.5899,0.6700,0
1,76.3262,6.4973,0.5858,31.7864,1.5500,1
1,73.6431,0.7826,0.2782,39.6809,0.5900,0
1,59.5543,0.3662,0.3669,43.8474,0.9300,0
1,50.3456,1.6643,0.4341,45.6685,0.4800,0
-1,41.0420,1.2840,0.2772,17.8271,0.1700,0
1,66.5717,0.8699,0.1926,15.2946,0.3200,0
1,71.5070,1.4182,0.2139,21.2799,0.5500,0
1,72.9206,2.5926,0.2053,24.6222,0.6400,0
1,70.5506,1.2558,0.2546,39.2061,0.3100,0
1,48.2477,0.3979,0.2107,39.9327,0.2400,0
1,46.4397,1.7276,0.1989,17.9282,0.3700,0
1,46.0937,3.1401,0.2363,19.4251,0.5700,0
-1,36.8186,0.8940,0.2348,17.9368,0.2500,0
-1,54.2640,1.1928,0.3691,26.4669,0.4500,0
1,69.3753,3.2234,0.4783,21.2725,1.6600,0
-1,41.0896,1.1129,0.3959,26.0072,0.0900,0
1,67.1379,4.9468,0.3677,15.1899,1.3500,1
1,71.5768,2.4087,0.3483,39.1263,0.4100,0
1,56.9641,3.8742,0.3823,43.3228,0.4700,0
-1,37.3705,4.4180,0.2413,13.0727,0.1200,0
-1,48.2680,0.3462,0.2168,15.5001,0.1900,0
-1,51.4740,0.7256,0.1954,12.1593,0.2900,0
-1,47.6784,0.6166,0.2141,10.8354,0.3300,0
-1,35.0753,3.5969,0.2505,9.4934,0.4500,0
-1,21.3929,4.7526,0.3169,11.1835,1.0600,0
-1,38.9721,0.2554,0.4371,27.9950,0.0300,1
-1,24.0702,1.7770,0.2990,38.1187,0.5200,0
-1,46.9052,0.2550,0.2614,49.3438,0.0700,0
1,61.1004,3.2645,0.2215,27.4228,0.3900,0
1,43.1950,1.7969,0.2099,23.3464,0.3000,0
-1,33.5871,3.3590,0.2175,24.5642,0.5900,0
-1,38.9328,1.0492,0.2575,33.6486,0.0900,0
1,58.1184,1.8989,0.2502,29.7403,0.0200,0
1,59.9775,0.3979,0.2314,22.3058,0.1700,0
1,46.5498,3.9495,0.3835,24.2434,0.2000,0
1,38.5894,2.1948,0.5946,28.1974,1.3500,0
-1,30.9873,1.2318,0.5797,25.1822,0.1100,0
-1,46.8208,1.2746,0.5099,39.4535,0.1200,0
1,64.6872,1.5689,0.4821,27.1083,0.7100,0
1,55.7767,1.1335,0.5085,27.8410,0.8700,1
